protein_id,experiment_name,time_stamp,protein_cellulose_clash_cutoff,protein_protein_clash_cutoff,protein_protein_contacts_cutoff,rmsd_after_kabsch,protein_cellulose_clashes,protein_protein_clashes,clashing_residues,protein_protein_contacts,status,rejection_reason
thl002332,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:57.913151,0,0,7,0.35964362656944876,43,5,"[(12, 92), (16, 90), (20, 88), (103, 42), (104, 45)]",244,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011267,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:26.671190,0,0,7,0.37318667686823237,175,3,"[(4, 55), (32, 91), (112, 89)]",373,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shl010947,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:44.544308,0,0,7,0.3652205489233366,56,1,"[(10, 86)]",250,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
ths000772,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:07.945886,0,0,7,0.34808684103217147,0,3,"[(1, 73), (2, 20), (47, 27)]",195,REJECTED,['more_than_0_protein_protein_clashes']
shl010534,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:42.167110,0,0,7,0.37394441067415407,0,4,"[(9, 73), (13, 75), (15, 26), (16, 27)]",195,REJECTED,['more_than_0_protein_protein_clashes']
thm001038,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:44.542990,0,0,7,0.36346090850205975,0,5,"[(4, 59), (5, 60), (40, 16), (42, 22), (78, 26)]",194,REJECTED,['more_than_0_protein_protein_clashes']
shs008297,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:42.162060,0,0,7,0.36288544455611477,0,2,"[(47, 73), (52, 64)]",187,REJECTED,['more_than_0_protein_protein_clashes']
thl002478,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:58.358707,0,0,7,0.3584009675967805,76,1,"[(10, 28)]",262,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011580,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:32.451813,0,0,7,0.35957143970988864,70,4,"[(18, 86), (24, 84), (103, 91), (105, 34)]",256,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011629,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:33.933516,0,0,7,0.39784760426354165,28,5,"[(19, 75), (20, 74), (21, 79), (89, 32), (92, 30)]",215,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011680,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:35.418115,0,0,7,0.3762664758899775,0,1,"[(25, 43)]",182,REJECTED,['more_than_0_protein_protein_clashes']
shl010658,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:42.320324,0,0,7,0.3869086123920877,30,3,"[(19, 82), (20, 81), (98, 79)]",214,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011422,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:28.782615,0,0,7,0.3841581165534598,2,4,"[(111, 89), (114, 96), (117, 94), (118, 41)]",186,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thl002092,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:56.319098,0,0,7,0.37158536193605113,2,1,"[(20, 76)]",183,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009895,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:35.378355,0,0,7,0.3525888495838305,1,3,"[(4, 78), (6, 72), (11, 75)]",184,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009937,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:35.782471,0,0,7,0.37412767014188303,0,4,"[(6, 76), (9, 77), (54, 24), (60, 71)]",184,REJECTED,['more_than_0_protein_protein_clashes']
shx011083,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:23.162653,0,0,7,0.33967116943659464,0,1,"[(110, 37)]",180,REJECTED,['more_than_0_protein_protein_clashes']
shm009857,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:35.099571,0,0,7,0.36790670128664776,0,4,"[(7, 71), (8, 64), (10, 69), (13, 68)]",183,REJECTED,['more_than_0_protein_protein_clashes']
shx011092,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:23.331071,0,0,7,0.3539757161834044,0,1,"[(100, 39)]",179,REJECTED,['more_than_0_protein_protein_clashes']
thm001145,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:45.931716,0,0,7,0.36040907541821887,5,3,"[(2, 22), (11, 74), (93, 72)]",185,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thm001880,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:52.829936,0,0,7,0.35076166200069187,11,1,"[(86, 73)]",188,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
ths000880,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:08.895679,0,0,7,0.33349604181625825,2,0,[],178,REJECTED,['protein_cellulose_clashes']
shm009107,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:32.093464,0,0,7,0.3729438023347983,0,0,[],176,PASSED,[]
thx003721,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:24.027729,0,0,7,0.3643035515483622,0,0,[],175,PASSED,[]
thx003928,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:29.304001,0,0,7,0.35131631432559396,3,4,"[(1, 93), (30, 41), (31, 102), (112, 43)]",180,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011329,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:27.635896,0,0,7,0.36155694997314625,0,3,"[(94, 34), (95, 85), (96, 75)]",175,REJECTED,['more_than_0_protein_protein_clashes']
shm009776,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:34.832763,0,0,7,0.3439458622166322,2,4,"[(8, 63), (10, 60), (47, 22), (76, 65)]",178,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011597,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:32.656424,0,0,7,0.36023702855743317,6,2,"[(23, 83), (26, 79)]",175,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011754,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:36.919165,0,0,7,0.36648113690064305,0,0,[],167,PASSED,[]
thx003298,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:15.911849,0,0,7,0.34998565063270703,1,7,"[(27, 93), (29, 95), (31, 86), (110, 88), (111, 89), (112, 92), (113, 91)]",175,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003798,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:25.921546,0,0,7,0.3460930716764619,0,4,"[(23, 79), (24, 77), (25, 76), (29, 74)]",171,REJECTED,['more_than_0_protein_protein_clashes']
shx011835,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:38.476654,0,0,7,0.3595967098139713,58,2,"[(103, 55), (104, 56)]",224,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011711,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:36.270182,0,0,7,0.35347230317293904,0,3,"[(28, 86), (30, 80), (99, 41)]",166,REJECTED,['more_than_0_protein_protein_clashes']
thx003617,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:22.791366,0,0,7,0.33420903883955305,1,1,"[(30, 82)]",165,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003929,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:29.523448,0,0,7,0.3622222892635271,14,5,"[(18, 83), (19, 84), (20, 77), (25, 75), (26, 76)]",182,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shl010308,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:41.457937,0,0,7,0.3776175388054992,0,2,"[(102, 31), (104, 30)]",164,REJECTED,['more_than_0_protein_protein_clashes']
shl010913,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:44.093232,0,0,7,0.3543931905004935,10,4,"[(55, 26), (58, 24), (97, 74), (102, 77)]",176,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003072,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:11.566850,0,0,7,0.35888463178665275,27,1,"[(56, 79)]",188,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003093,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:12.051397,0,0,7,0.3838128830485804,0,0,[],160,PASSED,[]
shx011154,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:24.194721,0,0,7,0.3507609693166322,6,1,"[(72, 35)]",166,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shs008995,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:44.151044,0,0,7,0.3889153022762495,1,1,"[(4, 69)]",161,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shm009437,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:33.614249,0,0,7,0.35712844241271274,2,2,"[(89, 70), (94, 73)]",159,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
shx011075,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:22.813376,0,0,7,0.38016667872199317,0,3,"[(10, 88), (104, 84), (108, 36)]",157,REJECTED,['more_than_0_protein_protein_clashes']
shm009710,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:34.451142,0,0,7,0.37789287587315823,0,2,"[(3, 24), (8, 33)]",155,REJECTED,['more_than_0_protein_protein_clashes']
shl010929,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:44.235817,0,0,7,0.341757610531644,0,3,"[(90, 69), (91, 68), (96, 72)]",156,REJECTED,['more_than_0_protein_protein_clashes']
shx011120,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:23.668511,0,0,7,0.3671975973157958,0,0,[],152,PASSED,[]
shx011631,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:34.346918,0,0,7,0.3546737164066023,9,1,"[(99, 39)]",161,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
ths000395,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:03.829777,0,0,7,0.35461902134562023,0,3,"[(41, 66), (46, 69), (48, 57)]",154,REJECTED,['more_than_0_protein_protein_clashes']
thx003470,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:19.547997,0,0,7,0.3622726853996096,26,2,"[(27, 81), (98, 85)]",178,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003687,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:23.621044,0,0,7,0.3626974197313239,18,2,"[(19, 44), (106, 86)]",170,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thx003320,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:16.281160,0,0,7,0.34451458535715934,0,1,"[(100, 86)]",150,REJECTED,['more_than_0_protein_protein_clashes']
shx011618,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:33.312522,0,0,7,0.374466892719127,22,4,"[(21, 91), (105, 88), (107, 40), (109, 41)]",174,REJECTED,"['more_than_0_protein_protein_clashes', 'protein_cellulose_clashes']"
thm001964,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:53.896870,0,0,7,0.3470182252431959,0,1,"[(77, 16)]",149,REJECTED,['more_than_0_protein_protein_clashes']
shl010817,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:43.201298,0,0,7,0.3594563031206554,0,5,"[(1, 76), (4, 74), (6, 67), (10, 70), (11, 71)]",153,REJECTED,['more_than_0_protein_protein_clashes']
thx003901,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:28.815209,0,0,7,0.3760264886176162,0,1,"[(24, 82)]",148,REJECTED,['more_than_0_protein_protein_clashes']
shs008711,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:43.424566,0,0,7,0.3671789873024325,0,1,"[(83, 62)]",146,REJECTED,['more_than_0_protein_protein_clashes']
thx003595,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:22.167564,0,0,7,0.3467689341411665,2,0,[],146,REJECTED,['protein_cellulose_clashes']
shm009029,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:31.868444,0,0,7,0.3470508368732269,0,0,[],144,PASSED,[]
thm001588,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:49.799030,0,0,7,0.3818134718296486,0,2,"[(1, 74), (4, 73)]",145,REJECTED,['more_than_0_protein_protein_clashes']
thl002504,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:58.647579,0,0,7,0.352615406616405,0,1,"[(13, 72)]",144,REJECTED,['more_than_0_protein_protein_clashes']
thx003426,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:18.009251,0,0,7,0.3503275043640068,0,1,"[(26, 79)]",144,REJECTED,['more_than_0_protein_protein_clashes']
shl010682,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:42.484226,0,0,7,0.3483093789408517,0,1,"[(74, 83)]",144,REJECTED,['more_than_0_protein_protein_clashes']
thm001975,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:54.519145,0,0,7,0.3657845720433286,0,0,[],142,PASSED,[]
ths000587,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:06.044181,0,0,7,0.3665275220135692,0,1,"[(49, 67)]",140,REJECTED,['more_than_0_protein_protein_clashes']
thx003796,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:10:25.715700,0,0,7,0.34110152041055386,0,1,"[(92, 69)]",139,REJECTED,['more_than_0_protein_protein_clashes']
thm001343,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:48.047428,0,0,7,0.36551616800317777,0,3,"[(7, 62), (9, 66), (12, 65)]",140,REJECTED,['more_than_0_protein_protein_clashes']
thm001950,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,2026-08-18T17:09:53.587534,0,0,7,0.34618175388735295,0,1,"[(4, 65)]",135,REJECTED,['more_than_0_protein_protein_clashes']
