protein_id,experiment_name,time_stamp,seed,ligand_chains,protein_ligand_clash_cutoff,protein_protein_clash_cutoff,protein_protein_contacts_cutoff,rmsd_after_kabsch,protein_ligand_clashes,protein_protein_clashes,clashing_residues,protein_protein_contacts,status,rejection_reason,skip_reason
hsm013640,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'hsmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/hsmedium.json
htl006036,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006254,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006297,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006393,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006485,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006600,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006834,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006969,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htl006970,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htlarge.json
htm005319,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htmedium.json
htm005392,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htmedium.json
htm005459,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htmedium.json
htm005477,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htmedium.json
htm005648,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htmedium.json
htx007045,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007058,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007059,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007066,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007073,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007107,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007168,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007203,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007263,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007275,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007276,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007287,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007309,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007325,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007353,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007376,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007468,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007495,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007678,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007680,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007682,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007701,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007785,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007908,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx007969,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
htx008000,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'htxlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/htxlarge.json
shl010038,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010080,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010146,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010175,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010182,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010228,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010260,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010267,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010269,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010293,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010308,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010329,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010408,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010427,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010524,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010534,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010658,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010682,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010703,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010764,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010774,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010814,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010817,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010866,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010867,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010890,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010899,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010903,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010913,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010929,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010935,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shl010947,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shlarge': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shlarge.json
shm009005,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009029,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009036,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009107,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009141,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009156,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009157,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009194,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009245,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009257,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009264,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009270,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009336,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009359,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009420,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
shm009437,15082026_16k_production_4_seeds_4_sizes,2026-09-19T19:12:36+00:00,,,0,0,7,,,,,,ERROR,,no stage-01 json for group 'shmedium': /home/karina/1cbh_clear/01_rfd3_symmetry_generation/json/15082026_16k_production_4_seeds_4_sizes/shmedium.json
