protein_id,experiment,group,time_stamp,best_seq_1,best_seq_1_score,best_seq_2,best_seq_2_score,best_seq_3,best_seq_3_score
hsl014234,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01423405,1.0163,hsl01423408,1.0195,hsl01423403,1.0260
htx007701,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00770113,1.0219,htx00770105,1.0370,htx00770115,1.0509
hsl014548,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01454806,1.0228,hsl01454811,1.0480,hsl01454808,1.0504
htl006970,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,2026-08-18T20:01:45+00:00,htl00697005,1.0238,htl00697008,1.0693,htl00697014,1.0985
thm001146,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00114607,1.0264,thm00114604,1.0350,thm00114613,1.0788
thm001046,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00104607,1.0338,thm00104612,1.0756,thm00104605,1.0783
ths000111,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00011109,1.0363,ths00011101,1.0824,ths00011115,1.0888
shx011814,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01181412,1.0372,shx01181408,1.0540,shx01181413,1.0775
thx003457,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thxlarge,2026-08-18T20:01:45+00:00,thx00345709,1.0389,thx00345713,1.0730,thx00345710,1.0735
hsx015406,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,2026-08-18T20:01:45+00:00,hsx01540615,1.0392,hsx01540614,1.0469,hsx01540611,1.0524
hsx015069,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,2026-08-18T20:01:45+00:00,hsx01506912,1.0415,hsx01506901,1.0668,hsx01506907,1.0711
shx011402,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01140213,1.0506,shx01140206,1.0669,shx01140207,1.0669
hsx015864,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,2026-08-18T20:01:45+00:00,hsx01586415,1.0543,hsx01586412,1.0666,hsx01586402,1.0788
hsx015313,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,2026-08-18T20:01:45+00:00,hsx01531302,1.0567,hsx01531315,1.0822,hsx01531301,1.1006
shx011263,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01126309,1.0618,shx01126314,1.0649,shx01126306,1.0801
shx011994,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01199414,1.0632,shx01199404,1.0850,shx01199403,1.0899
hsl014198,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01419810,1.0639,hsl01419807,1.0758,hsl01419801,1.0955
htm005648,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,2026-08-18T20:01:45+00:00,htm00564801,1.0645,htm00564800,1.0749,htm00564808,1.0895
hsl014968,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01496809,1.0656,hsl01496808,1.1085,hsl01496800,1.1358
htl006297,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,2026-08-18T20:01:45+00:00,htl00629700,1.0665,htl00629708,1.0755,htl00629713,1.0960
htx007045,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00704508,1.0669,htx00704505,1.1047,htx00704509,1.1106
ths000507,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00050708,1.0676,ths00050701,1.0737,ths00050711,1.0792
htl006834,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,2026-08-18T20:01:45+00:00,htl00683400,1.0703,htl00683404,1.0992,htl00683406,1.1035
ths000346,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00034603,1.0706,ths00034608,1.0876,ths00034612,1.1068
ths000006,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00000601,1.0711,ths00000615,1.0880,ths00000602,1.1347
shl010293,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01029306,1.0780,shl01029303,1.1101,shl01029314,1.1287
shx011619,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01161915,1.0797,shx01161906,1.0898,shx01161900,1.0976
thx003721,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thxlarge,2026-08-18T20:01:45+00:00,thx00372102,1.0797,thx00372114,1.1758,thx00372101,1.1841
htm005459,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,2026-08-18T20:01:45+00:00,htm00545912,1.0798,htm00545910,1.1010,htm00545908,1.1035
thm001846,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00184603,1.0833,thm00184610,1.1016,thm00184601,1.1029
hsl014812,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01481210,1.0855,hsl01481200,1.1085,hsl01481212,1.1261
thm001940,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00194003,1.0878,thm00194009,1.0944,thm00194000,1.0957
shl010890,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01089007,1.0907,shl01089005,1.1056,shl01089010,1.1155
ths000626,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00062615,1.0922,ths00062606,1.1081,ths00062604,1.1232
shl010427,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01042707,1.0941,shl01042705,1.0951,shl01042703,1.1204
ths000075,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00007506,1.0947,ths00007507,1.1258,ths00007508,1.1352
ths000845,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00084514,1.1016,ths00084513,1.1829,ths00084510,1.1830
thm001436,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00143601,1.1049,thm00143607,1.1089,thm00143614,1.1113
hsm013640,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,2026-08-18T20:01:45+00:00,hsm01364005,1.1074,hsm01364010,1.1114,hsm01364007,1.1115
ths000766,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00076607,1.1087,ths00076602,1.1273,ths00076604,1.1450
htl006969,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,2026-08-18T20:01:45+00:00,htl00696902,1.1157,htl00696911,1.1288,htl00696910,1.1302
htx007682,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00768210,1.1164,htx00768215,1.1459,htx00768202,1.1477
shs008356,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00835607,1.1173,shs00835603,1.1222,shs00835609,1.1253
thm001676,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00167606,1.1189,thm00167612,1.1343,thm00167603,1.1384
thx003328,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thxlarge,2026-08-18T20:01:45+00:00,thx00332801,1.1189,thx00332813,1.1329,thx00332809,1.1335
ths000163,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00016308,1.1197,ths00016302,1.1323,ths00016304,1.1329
htx007376,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00737611,1.1206,htx00737608,1.1236,htx00737600,1.1310
shs008488,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00848814,1.1224,shs00848806,1.1323,shs00848803,1.1411
thx003294,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thxlarge,2026-08-18T20:01:45+00:00,thx00329408,1.1248,thx00329403,1.1262,thx00329410,1.1336
ths000221,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00022101,1.1249,ths00022102,1.1455,ths00022106,1.1570
ths000488,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00048800,1.1262,ths00048804,1.1312,ths00048811,1.1325
ths000059,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00005912,1.1264,ths00005911,1.1502,ths00005906,1.1742
shm009923,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00992311,1.1274,shm00992300,1.1367,shm00992301,1.1490
thm001736,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00173610,1.1277,thm00173615,1.1328,thm00173613,1.1336
thl002551,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thlarge,2026-08-18T20:01:45+00:00,thl00255113,1.1303,thl00255102,1.1357,thl00255107,1.1498
shs008968,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00896811,1.1314,shs00896801,1.1383,shs00896806,1.1528
shl010903,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01090306,1.1325,shl01090300,1.1394,shl01090303,1.1439
ths000603,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00060307,1.1327,ths00060306,1.1405,ths00060308,1.1648
htx007309,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00730912,1.1333,htx00730900,1.1588,htx00730902,1.1666
htm005319,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,2026-08-18T20:01:45+00:00,htm00531904,1.1350,htm00531905,1.1449,htm00531911,1.1560
htx007908,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00790809,1.1350,htx00790800,1.1352,htx00790807,1.1721
shx011491,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01149106,1.1360,shx01149103,1.1460,shx01149107,1.1737
hsm013072,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,2026-08-18T20:01:45+00:00,hsm01307214,1.1405,hsm01307208,1.1445,hsm01307209,1.1678
ths000053,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00005310,1.1409,ths00005311,1.1520,ths00005309,1.1605
shx011848,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01184815,1.1430,shx01184805,1.1545,shx01184810,1.1652
ths000363,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00036303,1.1454,ths00036306,1.1462,ths00036313,1.1681
shs008497,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00849715,1.1466,shs00849705,1.1477,shs00849711,1.1640
shl010703,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01070306,1.1489,shl01070305,1.1959,shl01070312,1.1999
shm009156,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00915600,1.1489,shm00915605,1.1665,shm00915602,1.2178
shl010935,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01093501,1.1495,shl01093503,1.1649,shl01093507,1.1677
shm009194,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00919413,1.1497,shm00919408,1.1580,shm00919400,1.1603
thm001080,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00108004,1.1498,thm00108006,1.1815,thm00108007,1.1903
ths000296,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00029602,1.1514,ths00029612,1.1535,ths00029601,1.1609
htm005392,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,2026-08-18T20:01:45+00:00,htm00539205,1.1522,htm00539204,1.1565,htm00539214,1.1670
htl006393,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,2026-08-18T20:01:45+00:00,htl00639300,1.1549,htl00639304,1.1578,htl00639309,1.1730
hsl014442,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01444215,1.1559,hsl01444208,1.1594,hsl01444205,1.1638
ths000096,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00009605,1.1564,ths00009611,1.1780,ths00009603,1.1807
shx011181,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01118106,1.1571,shx01118112,1.1710,shx01118115,1.1814
ths000030,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00003013,1.1588,ths00003012,1.2223,ths00003003,1.2345
shl010228,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01022805,1.1589,shl01022813,1.1650,shl01022807,1.1771
htx008000,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00800011,1.1614,htx00800004,1.1844,htx00800005,1.1847
thm001191,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00119112,1.1616,thm00119113,1.1708,thm00119104,1.1763
htx007785,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00778503,1.1639,htx00778502,1.1674,htx00778504,1.1872
htx007066,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00706601,1.1674,htx00706605,1.1852,htx00706609,1.2062
shs008489,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00848903,1.1723,shs00848913,1.1774,shs00848904,1.1865
thm001139,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00113900,1.1726,thm00113907,1.1862,thm00113914,1.1915
thm002000,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00200006,1.1728,thm00200007,1.1908,thm00200013,1.1927
ths000250,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00025015,1.1742,ths00025014,1.1977,ths00025008,1.2496
thm001994,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00199402,1.1773,thm00199407,1.1864,thm00199414,1.2238
htx007353,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,2026-08-18T20:01:45+00:00,htx00735314,1.1785,htx00735308,1.2084,htx00735313,1.2358
ths000199,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00019912,1.1797,ths00019909,1.2068,ths00019910,1.2078
thm001247,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00124713,1.1811,thm00124709,1.1871,thm00124715,1.2019
ths000284,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00028404,1.1840,ths00028401,1.1929,ths00028413,1.2009
thm001694,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00169402,1.1851,thm00169415,1.1865,thm00169400,1.1914
ths000648,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00064801,1.1867,ths00064814,1.2211,ths00064803,1.2263
shx011120,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shxlarge,2026-08-18T20:01:45+00:00,shx01112009,1.1877,shx01112000,1.1917,shx01112008,1.2265
thm001131,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00113107,1.1897,thm00113114,1.1937,thm00113113,1.2106
ths000892,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00089201,1.1900,ths00089206,1.2095,ths00089214,1.2133
shl010182,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shlarge,2026-08-18T20:01:45+00:00,shl01018202,1.1994,shl01018205,1.2095,shl01018206,1.2187
shm009450,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shmedium,2026-08-18T20:01:45+00:00,shm00945014,1.1997,shm00945008,1.2038,shm00945015,1.2053
thm001269,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00126904,1.2001,thm00126905,1.2120,thm00126915,1.2157
thm001930,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00193014,1.2011,thm00193000,1.3104,thm00193013,1.3192
htl006600,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,2026-08-18T20:01:45+00:00,htl00660012,1.2017,htl00660007,1.2301,htl00660010,1.2489
thx003476,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thxlarge,2026-08-18T20:01:45+00:00,thx00347600,1.2017,thx00347610,1.2025,thx00347609,1.2050
ths000411,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00041100,1.2062,ths00041105,1.2255,ths00041110,1.2372
thm001966,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thmedium,2026-08-18T20:01:45+00:00,thm00196610,1.2070,thm00196601,1.2174,thm00196606,1.2295
thx003815,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thxlarge,2026-08-18T20:01:45+00:00,thx00381505,1.2093,thx00381515,1.2250,thx00381513,1.2326
hsl014052,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,2026-08-18T20:01:45+00:00,hsl01405206,1.2119,hsl01405211,1.2443,hsl01405201,1.2451
ths000491,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00049115,1.2127,ths00049105,1.2172,ths00049104,1.2260
thl002086,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thlarge,2026-08-18T20:01:45+00:00,thl00208609,1.2192,thl00208607,1.2267,thl00208612,1.2345
ths000630,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00063003,1.2193,ths00063013,1.2403,ths00063000,1.2526
ths000510,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00051003,1.2211,ths00051007,1.2304,ths00051006,1.2536
shs008311,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,shsmall,2026-08-18T20:01:45+00:00,shs00831112,1.2313,shs00831108,1.2420,shs00831111,1.2641
ths000020,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,thsmall,2026-08-18T20:01:45+00:00,ths00002000,1.2322,ths00002012,1.2347,ths00002004,1.2385
