protein_id,experiment,group,sequence_id,monomer_rmsd,monomer_matched_pairs,monomer_total_aligned_pairs,monomer_matched_fraction,monomer_ranking_score,monomer_pass,dimer_rmsd,dimer_matched_pairs,dimer_total_aligned_pairs,dimer_matched_fraction,dimer_ranking_score,dimer_pass,passed,destination
hsl014968,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01496808,0.6514,48,63,0.7619,0.8045,False,13.5055,126,126,1.0000,0.2628,False,False,rejected
hsl014968,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hslarge,hsl01496809,0.5040,48,63,0.7619,0.6995,False,20.2015,126,126,1.0000,0.4953,False,False,rejected
hsm013072,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01307208,0.7055,58,60,0.9667,0.6890,True,13.8057,120,120,1.0000,0.3177,False,False,rejected
hsm013072,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01307209,0.7632,59,60,0.9833,0.7112,True,12.9180,120,120,1.0000,0.1875,False,False,rejected
hsm013072,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01307214,0.5565,7,60,0.1167,0.3634,False,17.5554,120,120,1.0000,0.2901,False,False,rejected
hsm013080,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01308000,0.7235,51,59,0.8644,0.7103,True,22.5557,118,118,1.0000,0.7770,False,False,rejected
hsm013080,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01308005,0.6588,50,59,0.8475,0.7321,True,14.4328,118,118,1.0000,0.1866,False,False,rejected
hsm013080,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01308012,0.7054,52,59,0.8814,0.7444,True,14.7218,118,118,1.0000,0.2398,False,False,rejected
hsm013640,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01364005,0.8705,38,59,0.6441,0.6515,False,14.1421,118,118,1.0000,0.1589,False,False,rejected
hsm013640,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01364007,11.8632,59,59,1.0000,0.6718,False,20.7799,118,118,1.0000,0.5961,False,False,rejected
hsm013640,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsmedium,hsm01364010,0.8956,40,59,0.6780,0.6317,False,15.8564,118,118,1.0000,0.2134,False,False,rejected
hsx015039,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01503901,0.4275,8,92,0.0870,0.5204,False,20.8620,184,184,1.0000,0.4516,False,False,rejected
hsx015039,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01503905,11.6102,92,92,1.0000,0.7028,False,19.1418,184,184,1.0000,0.2163,False,False,rejected
hsx015039,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01503907,16.7494,92,92,1.0000,0.6254,False,21.5080,184,184,1.0000,0.2608,False,False,rejected
hsx015069,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01506901,1.1605,23,86,0.2674,0.5012,False,0.1694,3,172,0.0174,0.3803,False,False,rejected
hsx015069,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01506907,0.7147,38,86,0.4419,0.6917,False,14.9253,172,172,1.0000,0.4735,False,False,rejected
hsx015069,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01506912,0.7148,76,86,0.8837,0.7400,True,15.0764,172,172,1.0000,0.2893,False,False,rejected
hsx015165,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01516500,0.9613,89,98,0.9082,0.7924,True,16.5416,196,196,1.0000,0.1630,False,False,rejected
hsx015165,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01516504,0.7876,92,98,0.9388,0.7764,True,19.7753,196,196,1.0000,0.3504,False,False,rejected
hsx015165,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01516505,0.8218,84,98,0.8571,0.8108,True,16.3728,196,196,1.0000,0.3139,False,False,rejected
hsx015313,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01531301,0.2594,11,88,0.1250,0.4460,False,25.1901,176,176,1.0000,0.3501,False,False,rejected
hsx015313,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01531302,15.3986,88,88,1.0000,0.5810,False,18.7353,176,176,1.0000,0.3375,False,False,rejected
hsx015313,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01531315,12.9825,88,88,1.0000,0.6878,False,19.2332,176,176,1.0000,0.3212,False,False,rejected
hsx015406,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01540611,0.7380,10,91,0.1099,0.5621,False,22.7641,182,182,1.0000,0.2785,False,False,rejected
hsx015406,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01540614,1.0864,9,91,0.0989,0.4292,False,0.5419,9,182,0.0495,0.1863,False,False,rejected
hsx015406,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01540615,12.1768,91,91,1.0000,0.4417,False,14.7339,182,182,1.0000,0.1719,False,False,rejected
hsx015754,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01575410,0.6670,47,92,0.5109,0.6773,False,16.0022,184,184,1.0000,0.2846,False,False,rejected
hsx015754,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01575411,0.7726,87,92,0.9457,0.8135,True,14.5011,184,184,1.0000,0.3796,False,False,rejected
hsx015754,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01575412,0.8105,77,92,0.8370,0.8240,True,15.0638,184,184,1.0000,0.2803,False,False,rejected
hsx015864,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01586402,0.6537,4,82,0.0488,0.4223,False,14.8170,164,164,1.0000,0.1786,False,False,rejected
hsx015864,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01586412,1.1679,9,82,0.1098,0.4357,False,14.6896,164,164,1.0000,0.4093,False,False,rejected
hsx015864,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,hsxlarge,hsx01586415,0.7606,30,82,0.3659,0.5955,False,15.2192,164,164,1.0000,0.2871,False,False,rejected
htl006254,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00625401,0.6971,60,65,0.9231,0.7756,True,19.8731,130,130,1.0000,0.5005,False,False,rejected
htl006254,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00625403,0.8679,57,65,0.8769,0.7631,True,20.3527,130,130,1.0000,0.6522,False,False,rejected
htl006254,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00625405,0.8893,56,65,0.8615,0.7507,True,15.0408,130,130,1.0000,0.2489,False,False,rejected
htl006297,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00629700,1.1280,52,68,0.7647,0.8023,False,19.9379,136,136,1.0000,0.5715,False,False,rejected
htl006297,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00629708,0.8431,56,68,0.8235,0.7328,True,13.3683,136,136,1.0000,0.1857,False,False,rejected
htl006297,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00629713,0.8876,60,68,0.8824,0.6209,True,14.5272,136,136,1.0000,0.1624,False,False,rejected
htl006393,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00639300,0.6348,56,60,0.9333,0.7780,True,14.6053,120,120,1.0000,0.2154,False,False,rejected
htl006393,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00639304,0.5929,56,60,0.9333,0.7450,True,14.9975,120,120,1.0000,0.1643,False,False,rejected
htl006393,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00639309,0.5903,56,60,0.9333,0.7784,True,13.9322,120,120,1.0000,0.5818,False,False,rejected
htl006600,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00660007,0.7243,61,67,0.9104,0.7555,True,14.0982,134,134,1.0000,0.3981,False,False,rejected
htl006600,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00660010,0.7306,66,67,0.9851,0.7359,True,14.5398,134,134,1.0000,0.1684,False,False,rejected
htl006600,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00660012,0.7822,57,67,0.8507,0.7615,True,15.5509,134,134,1.0000,0.3834,False,False,rejected
htl006834,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00683400,0.6885,58,67,0.8657,0.6936,True,15.9776,134,134,1.0000,0.1624,False,False,rejected
htl006834,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00683404,0.1293,3,67,0.0448,0.6765,False,16.6395,134,134,1.0000,0.2320,False,False,rejected
htl006834,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00683406,0.7844,29,67,0.4328,0.6447,False,13.1751,134,134,1.0000,0.1521,False,False,rejected
htl006969,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00696902,0.5952,67,68,0.9853,0.7800,True,1.3093,6,136,0.0441,0.2094,False,False,rejected
htl006969,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00696910,13.0188,68,68,1.0000,0.5933,False,17.7574,136,136,1.0000,0.2703,False,False,rejected
htl006969,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00696911,14.9598,68,68,1.0000,0.5878,False,18.4681,136,136,1.0000,0.4526,False,False,rejected
htl006970,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00697005,5.1933,68,68,1.0000,0.5415,False,15.3093,136,136,1.0000,0.4206,False,False,rejected
htl006970,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00697008,0.8793,58,68,0.8529,0.7604,True,15.0692,136,136,1.0000,0.2177,False,False,rejected
htl006970,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htlarge,htl00697014,0.9916,17,68,0.2500,0.5999,False,14.5840,136,136,1.0000,0.1618,False,False,rejected
htm005319,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00531904,0.8686,49,55,0.8909,0.7011,True,13.8591,110,110,1.0000,0.1731,False,False,rejected
htm005319,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00531905,0.7012,48,55,0.8727,0.7147,True,14.7221,110,110,1.0000,0.2222,False,False,rejected
htm005319,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00531911,0.5498,50,55,0.9091,0.7712,True,14.1747,110,110,1.0000,0.1815,False,False,rejected
htm005392,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00539204,0.9866,48,55,0.8727,0.5952,True,13.8642,110,110,1.0000,0.1753,False,False,rejected
htm005392,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00539205,0.7667,52,55,0.9455,0.6352,True,14.2692,110,110,1.0000,0.2770,False,False,rejected
htm005392,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00539214,8.7828,55,55,1.0000,0.5138,False,15.4814,110,110,1.0000,0.3871,False,False,rejected
htm005459,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00545908,13.5471,61,61,1.0000,0.7218,False,17.0739,122,122,1.0000,0.2732,False,False,rejected
htm005459,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00545910,0.9416,43,61,0.7049,0.7580,False,19.1035,122,122,1.0000,0.5860,False,False,rejected
htm005459,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00545912,12.9203,61,61,1.0000,0.5814,False,17.4836,122,122,1.0000,0.4047,False,False,rejected
htm005648,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00564800,0.6837,52,60,0.8667,0.7757,True,15.5479,120,120,1.0000,0.6101,False,False,rejected
htm005648,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00564801,0.8324,49,60,0.8167,0.6989,True,14.7692,120,120,1.0000,0.3497,False,False,rejected
htm005648,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htmedium,htm00564808,1.0789,23,60,0.3833,0.6651,False,0.3921,4,120,0.0333,0.1921,False,False,rejected
htx007045,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00704505,0.6072,79,86,0.9186,0.7682,True,14.8858,172,172,1.0000,0.2960,False,False,rejected
htx007045,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00704508,0.5420,80,86,0.9302,0.8018,True,14.9381,172,172,1.0000,0.2701,False,False,rejected
htx007045,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00704509,13.7868,86,86,1.0000,0.6025,False,19.8199,172,172,1.0000,0.5801,False,False,rejected
htx007066,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00706601,0.8049,69,79,0.8734,0.6763,True,15.8179,158,158,1.0000,0.2116,False,False,rejected
htx007066,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00706605,1.2387,10,79,0.1266,0.6641,False,16.2098,158,158,1.0000,0.1820,False,False,rejected
htx007066,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00706609,1.0998,72,79,0.9114,0.6687,True,0.0867,3,158,0.0190,0.3185,False,False,rejected
htx007168,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00716800,0.9724,46,78,0.5897,0.7118,False,22.0958,156,156,1.0000,0.3523,False,False,rejected
htx007168,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00716802,0.6354,73,78,0.9359,0.6837,True,17.0117,156,156,1.0000,0.3535,False,False,rejected
htx007168,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00716813,0.5915,74,78,0.9487,0.7171,True,21.4420,156,156,1.0000,0.5662,False,False,rejected
htx007203,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00720304,0.7737,75,89,0.8427,0.7537,True,23.0609,178,178,1.0000,0.4407,False,False,rejected
htx007203,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00720307,0.4312,56,89,0.6292,0.8163,False,16.1992,178,178,1.0000,0.4721,False,False,rejected
htx007203,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00720313,0.7175,32,89,0.3596,0.4307,False,0.1709,3,178,0.0169,0.2343,False,False,rejected
htx007309,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00730900,0.7946,72,89,0.8090,0.6955,True,16.0429,178,178,1.0000,0.1799,False,False,rejected
htx007309,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00730902,0.7871,75,89,0.8427,0.7678,True,21.7879,178,178,1.0000,0.2691,False,False,rejected
htx007309,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00730912,0.8871,8,89,0.0899,0.4980,False,16.0822,178,178,1.0000,0.1861,False,False,rejected
htx007353,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00735308,0.6437,30,93,0.3226,0.6886,False,16.9015,186,186,1.0000,0.3587,False,False,rejected
htx007353,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00735313,1.3011,4,93,0.0430,0.5176,False,22.3721,186,186,1.0000,0.2498,False,False,rejected
htx007353,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00735314,0.8674,51,93,0.5484,0.7453,False,17.4371,186,186,1.0000,0.4153,False,False,rejected
htx007376,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00737600,0.7692,78,90,0.8667,0.7634,True,14.9834,180,180,1.0000,0.2921,False,False,rejected
htx007376,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00737608,0.7778,79,90,0.8778,0.8098,True,15.2591,180,180,1.0000,0.2738,False,False,rejected
htx007376,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00737611,0.8515,64,90,0.7111,0.7425,False,16.3673,180,180,1.0000,0.1596,False,False,rejected
htx007682,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00768202,0.7783,24,91,0.2637,0.7254,False,14.9838,182,182,1.0000,0.1736,False,False,rejected
htx007682,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00768210,0.7656,82,91,0.9011,0.8385,True,16.2213,182,182,1.0000,0.1990,False,False,rejected
htx007682,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00768215,0.5182,53,91,0.5824,0.7384,False,16.0117,182,182,1.0000,0.1898,False,False,rejected
htx007701,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00770105,0.8013,69,81,0.8519,0.6922,True,15.7131,162,162,1.0000,0.3181,False,False,rejected
htx007701,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00770113,0.7628,63,81,0.7778,0.6126,False,23.0520,162,162,1.0000,0.3583,False,False,rejected
htx007701,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00770115,1.0294,50,81,0.6173,0.6789,False,0.1119,4,162,0.0247,0.1918,False,False,rejected
htx007785,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00778502,0.6325,52,81,0.6420,0.6695,False,16.4420,162,162,1.0000,0.3061,False,False,rejected
htx007785,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00778503,0.7645,65,81,0.8025,0.6940,True,15.0720,162,162,1.0000,0.2837,False,False,rejected
htx007785,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00778504,0.5042,54,81,0.6667,0.7097,False,15.2132,162,162,1.0000,0.3346,False,False,rejected
htx007908,15082026_16k_production_4_seeds_4_sizes_20260818_pp_1p8_pc_2p2_cont_4p0_8p0,htxlarge,htx00790800,0.9227,78,89,0.8764,0.8029,True,15.2639,178,178,1.0000,0.2383,False,False,rejected
